Código;Nombre;Sección;Denominación de Origen;Nota de cata;Fuente
12788618;VINO R.BAIXAS M.DE FRADES BCO.6/;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (Val do Salnés). Color limón pálido con reflejos verde lima. Nariz fresca e intensa: fruta de pepita (manzana verde, pera) y tropical sobre fondo floral, con toques balsámicos. Boca fresca y fluida, de carácter salino y mineral atlántico.;Bodega Mar de Frades
12968210;VINO R.BAIXAS ABADIA DO SEIXO 6/;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (O Rosal, Pazo de Villarei). Amarillo pajizo con reflejos verdosos, limpio y brillante. Nariz frutal de manzana madura, cítricos (pomelo) y albaricoque, con notas herbáceas. Boca ágil, de acidez refrescante y final afrutado con ligero amargor.;Bodegas Pazo de Villarei
14734792;VINO R.BAIXAS VALDEMEIRA SELECCI;02-11 BEBIDAS;D.O. Rías Baixas;;
15749864;VINO D.O.RIAS  BAIXAS GUNDIAN 6/;02-11 BEBIDAS;D.O. Rías Baixas;"Albariño 100% (subzona Ribeira do Ulla; crianza sobre lías finas). Amarillo pajizo con destellos verdosos, limpio y brillante. Nariz de intensidad alta, frutal y floral, con manzana y fruta de hueso (albaricoque). Boca fresca y golosa, envolvente y glicérica, con acidez equilibrada.";Adega Valdés
16702086;V.ALBAR.D.O.RIAS BAIXAS PACO&LOL;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (Val do Salnés, sobre lías finas). Amarillo pajizo con reflejos verdosos, limpio y brillante. Nariz intensa: fruta blanca y tropical (manzana, pera, piña, lichi), cítricos, hierbas aromáticas y flores blancas. Boca fresca, golosa, frutal, equilibrada y persistente.;Bodega Paco & Lola
18302034;VINO RIAS BAIXAS ANCORA SILLEIRO;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (Rías Baixas, Cambados). Amarillo pajizo. Nariz de intensidad alta con fruta blanca (pera, manzana, melón) y ligera punta de aguja. Boca golosa, fresca y afrutada, con acidez equilibrada y final persistente.;Bodega Viña Sobreira
20096715;V.R.BAIXAS O ROSAL QUINTA COUSELO 75 CL;02-11 BEBIDAS;D.O. Rías Baixas;"Coupage de O Rosal (albariño con caíño blanco y loureiro; 6 meses sobre lías). Amarillo pajizo con ribete acerado, limpio y brillante. Nariz elegante e intensa: floral (azahar, jazmín), fruta fresca y cítricos, hierbas aromáticas, balsámicos y notas minerales. Boca amplia, fresca y equilibrada, paso cremoso y final salino largo.";Bodega Quinta de Couselo
20160685;V.ALBARIÑO R.BAIXAS BLC PACO&LOL;02-11 BEBIDAS;D.O. Rías Baixas;Albariño 100% (Val do Salnés, sobre lías finas). Amarillo pajizo con reflejos verdosos, limpio y brillante. Nariz intensa: fruta blanca y tropical (manzana, pera, piña, lichi), cítricos, hierbas aromáticas y flores blancas. Boca fresca, golosa, frutal, equilibrada y persistente.;Bodega Paco & Lola
23027311;VINO ALBARIÑO ALALBA 75CL C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
23060320;VINO ALBARIÑO MARIETA 75CL C/6;02-11 BEBIDAS;D.O. Rías Baixas;;
23498462;V.ALBARIÑO R.BAIXAS BLC LOLO 6/7;02-11 BEBIDAS;D.O. Rías Baixas;;
25469834;V.ALBARIÑO M.CÓDAX 0,375L C/12;02-11 BEBIDAS;D.O. Rías Baixas;;
25626813;V.BCO.DO R.BAIXAS VEIGA DA PRINC;02-11 BEBIDAS;D.O. Rías Baixas;;
26137810;VINO D.O.RIAS BAIXAS ALBA MARTIN;02-11 BEBIDAS;D.O. Rías Baixas;;
26178780;VINO R.B.FINCA VALIÑAS MAR FRADE;02-11 BEBIDAS;D.O. Rías Baixas;;
26182717;VINO D.O. R. BAIXAS ORGANISTRUM;02-11 BEBIDAS;D.O. Rías Baixas;;
26187526;VINO D.O. RIAS BAIXAS LA MAR 6/7;02-11 BEBIDAS;D.O. Rías Baixas;;
26187542;VINO RIAS BAIXAS CORAL DO MAR 6/;02-11 BEBIDAS;D.O. Rías Baixas;;
26194316;V. D.O.RIAS BAIXAS PAZO BAIÓN 6/;02-11 BEBIDAS;D.O. Rías Baixas;;
00221440;VINO RIBEIRO PAZO BLANCO 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
00423541;VINO RIBEIRO V.COSTEIRA BCO.6/75;02-11 BEBIDAS;D.O. Ribeiro;;
01195684;VINO RIBEIRO SOÑAL BCO 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
01849108;VINO GODELLO VALDEORRAS  RUCHEL;02-11 BEBIDAS;D.O. Valdeorras;;
01849215;VINO VALDEORRAS MOZA FRESCA BCO.;02-11 BEBIDAS;D.O. Valdeorras;;
01849751;VINO RIBEIRO V.REBOREDA BCO.6/75;02-11 BEBIDAS;D.O. Ribeiro;;
02501880;V.GOD.D.O.VALDEORRAS J.REBOLLEDO;02-11 BEBIDAS;D.O. Valdeorras;;
04537098;VINO RIBEIRO O,VENTOSELA BCO.6/7;02-11 BEBIDAS;D.O. Ribeiro;;
08569311;VINO RIBEIRO PAZO DO MAR BCO.6/7;02-11 BEBIDAS;D.O. Ribeiro;;
11192473;VINO RIBEIRO DIMIA BCO.6/75 CL;02-11 BEBIDAS;D.O. Ribeiro;;
15013832;VINO VALDEORRAS GODELLO MARUXA 6;02-11 BEBIDAS;D.O. Valdeorras;;
15097140;V.VALDEORRAS GODELLO VAL DO GALI;02-11 BEBIDAS;D.O. Valdeorras;;
15293772;VINO GODELLO VALDEORRAS AS CHAS;02-11 BEBIDAS;D.O. Valdeorras;;
15759624;GOD. D.O.MONTERREI MARA MARTIN 6;02-11 BEBIDAS;D.O. Monterrei;;
15792310;V.GODELLO VALDEORRAS VERDES CAST;02-11 BEBIDAS;D.O. Valdeorras;;
18486613;VINO RIBEIRO BCO ALTER 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
19177336;VINO MONTERREI LADAIRO  BLANCO 1;02-11 BEBIDAS;D.O. Monterrei;;
19278530;V.MONTE.GODELLO Q.TAPIAS 6/75CL;02-11 BEBIDAS;D.O. Monterrei;;
19278845;VINO RIBEIRO CASAL DE ARMAN 6/75;02-11 BEBIDAS;D.O. Ribeiro;;
19659226;V.BCO MONTERREI P.MARIÑAN 12/75C;02-11 BEBIDAS;D.O. Monterrei;;
20166450;VINO RIB.ANTONIO MONTERO AUTOR 6;02-11 BEBIDAS;D.O. Monterrei;;
21773379;BCO DO RIBEIRO VIÑA COSTEIR 4BX;02-11 BEBIDAS;D.O. Ribeiro;;
23532187;VINO GODELLO C. MOREIRAS 75CL   D.O.RIBEIRA SACRA;02-11 BEBIDAS;D.O. Ribeira Sacra;;
23532211;V.MONT.GODELLO CREGO&MONAGUILLO;02-11 BEBIDAS;D.O. Monterrei;;
23629967;V. GODELLO MONTERREI CURA MALES;02-11 BEBIDAS;D.O. Monterrei;;
23828650;V.D.O. RIBEIRO TERRADA BCO. 6/75;02-11 BEBIDAS;D.O. Ribeiro;;
24141764;VINO BCO.DO.VALD.GODEVAL 750ML C;02-11 BEBIDAS;D.O. Valdeorras;;
24947558;V.RIBEIRO D.O.ESENCIA NOVA BLC 0;02-11 BEBIDAS;D.O. Ribeiro;;
25508714;V.BCO DO.RIBEIRO MARUXIA 750ML C;02-11 BEBIDAS;D.O. Ribeiro;;
25529041;VINO GOD.O BCO MONTERREI GARGALO;02-11 BEBIDAS;D.O. Monterrei;;
25621228;VIN BCO GODELL PACO&LOLA 0,75L D.O VALDEORRAS;02-11 BEBIDAS;D.O. Valdeorras;;
25621673;VINO GOD.VALDEO.BCO.ABAD SUMMUM;02-11 BEBIDAS;D.O. Valdeorras;;
25869983;V.RIBEIRO EL GODELLO JUAN MIGUEZ;02-11 BEBIDAS;D.O. Ribeiro;;
25880840;VINO GOD.MONTERREI TERRAS CIGARR;02-11 BEBIDAS;D.O. Monterrei;;
25938879;V.BCO. RIBEIRO MARIETA 0,75 L C/;02-11 BEBIDAS;D.O. Ribeiro;;
25938960;V.BCO.MONTERREI M.MOURA 0,75 L C;02-11 BEBIDAS;D.O. Monterrei;;
26142273;V. GODELLO MONTERREI TIRABEQUE 6;02-11 BEBIDAS;D.O. Monterrei;;
26178798;VINO GODELLO R.BAIXAS MAR FRADES;02-11 BEBIDAS;D.O. Rías Baixas;;
26178806;VINO D.O. RIBEIRO BCO. 7 CUPOS 6;02-11 BEBIDAS;D.O. Ribeiro;;
26179796;V GODELLO D.O.MONTERREI SETEMBRO;02-11 BEBIDAS;D.O. Monterrei;;
26182691;V.D.O.RIBEIRO BCO.PAZO TIZON 6/7;02-11 BEBIDAS;D.O. Ribeiro;;
26182972;V.D.O. RIBEIRO GOMARIZ 12 BCO. 1;02-11 BEBIDAS;D.O. Ribeiro;;
26189779;VINO D.O.GODELLO MONTERREI VIONT;02-11 BEBIDAS;D.O. Monterrei;;
00378323;VINO RIOJA DIAMANTE BCO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00170340;VINO LOS MOLINOS BCO 6/75CL;02-11 BEBIDAS;D.O. Valdepeñas;;
25296799;VINO D.O.MANCHA ABADIA DL ROBLE;02-11 BEBIDAS;D.O. La Mancha;;
00303321;VINO LOS MOLINOS RDO 6/75CL;02-11 BEBIDAS;D.O. Valdepeñas;;
20161907;V.TTO.RIOJA AZPILICUETA CR. 12/3;02-11 BEBIDAS;D.O.Ca. Rioja;;
14556302;V.R.DUERO CARMELO RODERO CR17 6/;02-11 BEBIDAS;D.O. Ribera del Duero;;
09526864;VINO MANCHA SETIEN CR.TTO.6/75CL;02-11 BEBIDAS;D.O. La Mancha;;
09526880;VINO MANCHA SETIEN JOVEN TTO.6/7;02-11 BEBIDAS;D.O. La Mancha;;
02714459;V.RIB.DUERO V.MAYOR TTO.ROBLE 6/;02-11 BEBIDAS;D.O. Ribera del Duero;;
05909080;V.RIB.DUERO A.TAMARON ROBLE TTO.;02-11 BEBIDAS;D.O. Ribera del Duero;;
10138360;V.R.DUERO PROTOS RBLE.12 TTO.6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
13149216;V.R.DUERO ROBLE LEGARIS TTO.6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
13383468;VINO R.DUERO MONSALVEZ ROBLE 6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
13612585;VINO RIB.DUERO TTO.ROBLE RESALSO;02-11 BEBIDAS;D.O. Ribera del Duero;;
13763917;V.RIB.DUERO CARRAMIMBRE ROBLE TT;02-11 BEBIDAS;D.O. Ribera del Duero;;
13778956;R.DUERO ARZUAGA ROBLE LA PLANTA;02-11 BEBIDAS;D.O. Ribera del Duero;;
14683965;TTO DO RIB. DUERO ROBLE CELESTE;02-11 BEBIDAS;D.O. Ribera del Duero;;
14999247;VINO D.O R.DUERO PRUNO CRIANZA C;02-11 BEBIDAS;D.O. Ribera del Duero;;
16922312;V.TTO.RIB.DUERO P.NEGRA ROBLE 75;02-11 BEBIDAS;D.O. Ribera del Duero;;
20166484;VINO D.O.RIBERA DUERO ALION  6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
20168753;V.D.O.RIB.DUERO MALLEOLUS 17 6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
21766233;V. D.O.RIB DUERO LAMBUENA ROBLE;02-11 BEBIDAS;D.O. Ribera del Duero;;
23408818;VINO RIBERA DUERO PSI PINGUS C/6;02-11 BEBIDAS;D.O. Ribera del Duero;;
25522566;VINO TINTO R.DUERO FIGUERO 4 C/6;02-11 BEBIDAS;D.O. Ribera del Duero;;
26489419;V.R.DUERO PINNA FIDELIS ROBLE 12;02-11 BEBIDAS;D.O. Ribera del Duero;;
00948943;V.R.DUERO MATARROMERA C.12 TTO.6;02-11 BEBIDAS;D.O. Ribera del Duero;;
01566116;V.RIB.DUERO MELIOR ROBLE MATARRO;02-11 BEBIDAS;D.O. Ribera del Duero;;
04415683;V.R.DUERO T.QUINTA TARSUS CR.TTO;02-11 BEBIDAS;D.O. Ribera del Duero;;
07114598;V.R.DUERO A.TAMARON CR.TTO.6/75C;02-11 BEBIDAS;D.O. Ribera del Duero;;
08520637;V.RIB.DUERO ARZUAGA CRIANZA 6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
08521163;VINO R.DUERO PESQUERA CR.21  6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
10140457;V.R.DUERO PROTOS CR.11 TTO.6/75C;02-11 BEBIDAS;D.O. Ribera del Duero;;
10443802;V.R.DUERO M.CASTILLA ROBLE TTO.6;02-11 BEBIDAS;D.O. Ribera del Duero;;
12829933;V.R.DUERO PAGO CARRAOVEJAS  A.20;02-11 BEBIDAS;D.O. Ribera del Duero;;
13612296;VINO RIBERA DEL DUERO EMILIO MOR;02-11 BEBIDAS;D.O. Ribera del Duero;;
18248856;V.RIB.DUERO P.CAPELLANES CR.TTO.;02-11 BEBIDAS;D.O. Ribera del Duero;;
23403470;V.RIB.DUERO CARMELO RODERO ROBLE;02-11 BEBIDAS;D.O. Ribera del Duero;;
23407885;VINO RIBERA DUERO CEPA 21 6/75CL;02-11 BEBIDAS;D.O. Ribera del Duero;;
23408826;VINO RIB DUERO BOSQUE MATASNOS 0;02-11 BEBIDAS;D.O. Ribera del Duero;;
23410285;V.R.DUERO CANONIGOS 16 TTO. 6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
25598988;V. RIB DUERO P. CAPELLANES ROBLE;02-11 BEBIDAS;D.O. Ribera del Duero;;
25749987;VINO D.O. RIB DUERO LAMBUENA CR.;02-11 BEBIDAS;D.O. Ribera del Duero;;
25750043;V. D.O. TTO RIBERA DUERO AVAN CR;02-11 BEBIDAS;D.O. Ribera del Duero;;
26013540;V.RIB.DUERO CARRAMIMBRE CRIANZA;02-11 BEBIDAS;D.O. Ribera del Duero;;
26178814;VINO D.O. RIBERA DUERO HITO 6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
26179788;VINO D.O. R. DUERO EBANO 6 6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
26214650;V.D.O.RIB.DUERO L.CRISTÓBAL ROBL;02-11 BEBIDAS;D.O. Ribera del Duero;;
26346585;VINO D.O. RIBERA DUERO MALABRIGO;02-11 BEBIDAS;D.O. Ribera del Duero;;
26346593;VINO D.O. RIBERA DUERO HITO 6/1,5;02-11 BEBIDAS;D.O. Ribera del Duero;;
26489500;V.TTO R.DUERO ANTÍDOTO 0,75L CR;02-11 BEBIDAS;D.O. Ribera del Duero;;
26489518;V.R.DUERO VALDUERO 2 MADERAS CR.;02-11 BEBIDAS;D.O. Ribera del Duero;;
90013590;VINO D.O. RIBERA DEL DUERO AALTO;02-11 BEBIDAS;D.O. Ribera del Duero;;
90066760;VINO D.O. R.DUERO TOMAS POSTIGO;02-11 BEBIDAS;D.O. Ribera del Duero;;
10140630;V R.DUERO PROTOS RVA.11 TTO.6/75;02-11 BEBIDAS;D.O. Ribera del Duero;;
26256024;VINO D.O. R. DUERO PROTOS 27 6/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
26498501;TTO R.DUERO RVA FIGUERO15 0,75 C;02-11 BEBIDAS;D.O. Ribera del Duero;;
00318626;VINO RIOJA SIGLO JV.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00450999;V.RIOJA PATERNINA B.A.CR.13 TTO.;02-11 BEBIDAS;D.O.Ca. Rioja;;
00816884;VINO RIOJA CAMPOVIEJO JV.TTO.6/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
00954615;V.RIOJA FAUSTINO VII TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
07056526;VINO RIOJA ARNALTE JOVEN TTO.6/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
08429623;VINO RIOJA ANTAÑO JOV.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
09175548;TTO DOC RIOJA JVN LUIS CAÑAS C/1;02-11 BEBIDAS;D.O.Ca. Rioja;;
11630548;V.RIOJA C.ALBAI JV.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
16598765;VINO RIOJA CECIOS JV.19 TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
25630245;VINO RIOJA JOVEN TTO. GARDINGO 6;02-11 BEBIDAS;D.O.Ca. Rioja;;
00049551;V.RIOJA V.ALCORTA CR.14 TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
00049882;V.RIOJA BERONIA CR.12 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00075861;VINO RIOJA BORDON CR.14.TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
00120261;V.RIOJA M.CACERES CR.12 TTO.12/3;02-11 BEBIDAS;D.O.Ca. Rioja;;
00120279;VINO RIOJA COTO CR.14 TTO.12/375;02-11 BEBIDAS;D.O.Ca. Rioja;;
00151399;V.RIOJA COTO TTO.CR.15 6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00302695;VINO RIOJA GLORIOSO CR.14 6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00309443;VINO RIOJA M.CACERES CR.12 TTO.6;02-11 BEBIDAS;D.O.Ca. Rioja;;
00318303;VINO RIOJA CUNE CR.14 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00318436;V.RIOJA CAMPOVIEJO CR.14 TTO.6/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
00319335;V.RIOJA RAMON BILBAO CR.16 TTO.7;02-11 BEBIDAS;D.O.Ca. Rioja;;
00329664;V.RIOJA V.IZADI CR.15 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00382903;VINO RIOJA LAN CR.15 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
04269932;VINO D.O.RIOJA PIEROLA CRZA 12/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
04577995;V. RIOJA R.BILBAO CRI. ED.LIMIT.;02-11 BEBIDAS;D.O.Ca. Rioja;;
04935615;MAGNUM RIOJA AZPILICUETA CR 6/1,;02-11 BEBIDAS;D.O.Ca. Rioja;;
04935664;VINO RIOJA AZPILICUETA CR.TTO.6/;02-11 BEBIDAS;D.O.Ca. Rioja;;
07056534;VINO RIOJA ARNALTE CR.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
08429631;V.RIOJA ANTAÑO CRIANZA TTO.6/75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
09122573;V.TTO.RIOJA CRZA.ARNALTE 375CL C;02-11 BEBIDAS;D.O.Ca. Rioja;;
09175365;V.RIOJA LUIS CAÑAS CR.TTO.12/75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
09526435;VINO RIOJA BAIGORRI CR.13 6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
10444693;V.RIOJA V.CUMBRERO CR.10 TTO.75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
10445161;VINO RIOJA CAMPILLO CR.14 TTO.6/;02-11 BEBIDAS;D.O.Ca. Rioja;;
11067840;VINO RIOJA CUNE TTO.24/180ML;02-11 BEBIDAS;D.O.Ca. Rioja;;
12751038;V.RIOJA POMAL CRIANZA TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
13581509;VINO RIOJA MUGA CR.18 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
13677885;V.RIOJA DIN.VIVANCO CR.TTO.6/75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
15140437;V.TTO.RIOJA CR.SIERRA CANTABRIA;02-11 BEBIDAS;D.O.Ca. Rioja;;
15495914;V.RIOJA MONOLOGO CR.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
15969488;MAGNUM RIOJA EL COTO CRIANZA 6/1;02-11 BEBIDAS;D.O.Ca. Rioja;;
18076422;VINO DO RIOJA EGUREN UGARTE CRI.;02-11 BEBIDAS;D.O.Ca. Rioja;;
18297523;VINO RIOJA CECIOS CR.16 TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
18409888;PACK RIOJA COTO CRIANZA 2 BOT.+C;02-11 BEBIDAS;D.O.Ca. Rioja;;
18435206;V.TTO.RIOJA CR.LA MONTESA 17 6/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
19653849;V.D.O.RIOJA  T.LOPEZ DE HARO CR.;02-11 BEBIDAS;D.O.Ca. Rioja;;
20161865;VINO RIOJA BORDON CR.TTO.24/18CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
20161881;V.RIOJA RAMON BILBAO CRIANZA TTO;02-11 BEBIDAS;D.O.Ca. Rioja;;
25630252;VINO RIOJA CRIANZA TTO. GARDINGO;02-11 BEBIDAS;D.O.Ca. Rioja;;
25630286;V.D.O.RIOJA TTO.GARNACHA LA MALD;02-11 BEBIDAS;D.O.Ca. Rioja;;
25976028;V.TTO R.DUERO ARROCAL ROBLE 12/7;02-11 BEBIDAS;D.O. Ribera del Duero;;
26179770;VINO D.O. RIOJA MIRTO C/ESTU. 4/;02-11 BEBIDAS;D.O.Ca. Rioja;;
26221184;VINO D.O.RIOJA BIGA LUBERRI CRZ.;02-11 BEBIDAS;D.O.Ca. Rioja;;
26228031;V.D.O. R.DUERO PEPE YLLERA ROBLE;02-11 BEBIDAS;D.O. Ribera del Duero;;
00112839;V.RIOJA M.CACERES RESERVA TTO.6/;02-11 BEBIDAS;D.O.Ca. Rioja;;
00138834;V.RIOJA RAMON BILBAO R.12.TTO.6/;02-11 BEBIDAS;D.O.Ca. Rioja;;
00318204;V.RIOJA M.RISCAL R.15 TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00318212;VINO RIOJA ARDANZA RVA. TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
00387910;VINO RIOJA LAN RVA.TTO.6/75CL;02-11 BEBIDAS;D.O.Ca. Rioja;;
00503029;VINO RIOJA M.MURRIETA RES.ESPEC.;02-11 BEBIDAS;D.O.Ca. Rioja;;
00530089;V.RIOJA MONTE REAL R.13 TTO.6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
01772706;V.RIOJA C.IMAZ TTO.RVA.11 75CL C;02-11 BEBIDAS;D.O.Ca. Rioja;;
02678886;V.RIOJA FAUSTINO V TTO.R.10 6/75;02-11 BEBIDAS;D.O.Ca. Rioja;;
04935573;V.RIOJA AZPILICUETA RVA.12 TTO.6;02-11 BEBIDAS;D.O.Ca. Rioja;;
08577504;V.RIOJA ARNALTE RVA.12.TTO.6/75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
14596746;VINO RIOJA 200MONGES RVA.09 C/6;02-11 BEBIDAS;D.O.Ca. Rioja;;
19653898;VINO D.O. RIOJA EL PACTO CZA. 6/;02-11 BEBIDAS;D.O.Ca. Rioja;;
23408834;VINO TINTO RESERVA 14 CECIOS 6/7;02-11 BEBIDAS;D.O.Ca. Rioja;;
25527870;VINO TTO DO.RIOJA PREDICADOR 0,7;02-11 BEBIDAS;D.O.Ca. Rioja;;
90023323;V.R.MONTE REAL RVA.15 TTO.LTN. 6;02-11 BEBIDAS;D.O.Ca. Rioja;;
90048979;RIOJA MONTE REAL G.RV.-LTN-6/75C;02-11 BEBIDAS;D.O.Ca. Rioja;;
90085700;VINO RIOJA.M.RISCAL TTO ARIENZO;02-11 BEBIDAS;D.O.Ca. Rioja;;
10765618;VINO SOMONTANO ENATE TINTO 6/75C;02-11 BEBIDAS;D.O. Somontano;;
00743237;VINO TORO VIÑA BAJOZ JOV.TTO.6/7;02-11 BEBIDAS;D.O. Toro;;
01195700;VINO RIBEIRO PAZO TINTO 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
01195718;VINO RIBEIRO SOÑAL TTO 6/75CL;02-11 BEBIDAS;D.O. Ribeiro;;
01552181;VINO R.SACRA R.DE AMANDI TTO.6/7;02-11 BEBIDAS;D.O. Ribeira Sacra;;
01849207;VINO VALDEORRAS MENCIÑO TTO.6/75;02-11 BEBIDAS;D.O. Valdeorras;;
